代码,简称,截至日期,家数,本期持股数(万股),持股占已流通A股比例(%),同上期增减(万股),持股比例(%),上期家数,明细
600775,南京熊猫,2020-03-31,2,929.6975,1.02,-1165.33,2.29,3,+展开明细
2007,华兰生物,2020-03-31,3,6049.2045,4.31,-1907.0929,5.67,3,+展开明细
2296,辉煌科技,2020-03-31,1,320.4,0.85,320.4,0.0,0,+展开明细
300114,中航电测,2020-03-31,1,412.26,0.7,-420.4,1.41,1,+展开明细
2294,信立泰,2020-03-31,1,207.5998,0.2,207.5998,0.0,0,+展开明细
2324,普利特,2020-03-31,3,1344.3376,2.55,983.8026,0.68,1,+展开明细
2916,深南电路,2020-03-31,6,981.9239,2.89,58.6991,2.72,7,+展开明细
603737,三棵树,2020-03-31,4,585.3436,3.14,-193.242,4.18,4,+展开明细
603186,华正新材,2020-03-31,7,1662.0787,12.85,779.4954,6.82,6,+展开明细
603363,傲农生物,2020-03-31,2,719.6484,1.66,719.6484,0.0,0,+展开明细
2913,奥士康,2020-03-31,1,159.955,1.08,45.2351,0.78,3,+展开明细
